Date,Description,Name,Reting,rating_count,reviews_count
" June 4, 2018","good information, easy to follow",Sonia S.,4,31,9
" June 3, 2018","I haven't gotten in very far yet with the class but so far everything is wonderful! It's great information and easy to do either on a computer or a mobile device, which I thought rocked!!! I'm very happy I choose to do this !!",Meg H.,5,2,2
" July 31, 2018","It was a good course.  I wish it was recognized by the state as a licensed and approved bartender class, but unfortunately it isn't.",David F.,4,10,6
" September 13, 2018",This course was informative..wish it included a certificate rather than having to pay extra for it.,Christy C.,4,7,2
" December 9, 2018","This course was Awesome!!! It was so inexpensive and I learned so much. They cover everything you could possibly need to know to become a bartender. And not just an adequate bartender or barista, but a really great one!!! I would highly recommend this course to anyone, whether they are considering this as a career, or to sharpen their skills if they are already working in the field. For me, it was just an all-around great experience.",Sheryl B.,5,4,1
" October 17, 2018","I learned a lot about the profession, but you really need a hands on course to be the best.  This course will give you the basics and help you get on the right path.  I am now considering a local bartender school for the learning experience.",William B.,4,1,1
" March 11, 2019","The class was great. So much information and it was organized nicely, and the quizzes were short multiple choice or true/false questions. My only complaint is that the groupon only includes the class and the option to buy the certificates at the end. So, extra money has to be spent if you want proof of taking the class (such as certificate, transcripts, etc).",Jacqueline G.,5,5,4
" December 16, 2018",How do I redeem this for a gift I have two more to do too?,Bert S.,4,1,1
" July 10, 2018","A helpful course, but its very dry and the information isn't presently very nicely...  seems like the course was copy/pasted from a word document. You also have to pay for everything every step of the way. Once you pass your course there's a fee to get an online certificate in PDF form ($6.50 Canadian) and to get a hardcopy form (19.99- ridiculous). I won't be taking another course from them.",Rebecca F.,3,1,1
" October 4, 2018","The course itself was great, trying to get a gig after is the hard part",Ebonie C.,5,2,2
" April 1, 2019","Getting started was a little confusing, trying to get to the web page from veiwing the voucher would always read an error. I had to go to the vendor's page to get started, after that it all was very informative and easy to follow. The Groupon price is amasing for the training and certifacate.",Rodrigo A.,4,1,1
" March 22, 2019","I have had an excellent experience with this company. I had difficulty redeeming the code initially because the correct class had not been added for the code, but the customer support representative was extremely helpful and had the issue resolved within minutes. Very excited for this course and very pleased with my experience so far!",Katharyn T.,5,1,1
" December 4, 2018",This is a scam and I want my little 5$ BACK!,Candance B.,1,1,1
" November 12, 2018","I couldn't access the website at all. Therefore I feel like I just made a $5 donation to the site, Not happy.",NATALIE M.,1,1,1
" October 8, 2018",It did not give a chance to finish the class,Fabiola B.,3,11,2
" February 28, 2019","Currently on my second Module, but so far so good, the information is clear and concise, for the money spent, it's a steal.",Joshua H.,5,1,1
" January 21, 2019","Great course, very educational",Manuel R.,5,21,11
" January 19, 2019","It was informative. I did use a great Groupon.
The Co. has lots of courses, check them out.",Jason P.,5,1,1
" September 24, 2018","A great course with lots of detail and wisdom about what it means to be a bartender and barista, taking in the context of the entire bar, coffee shop, and business. Unfortunately, I didn't expect it to be so reading heavy. Videos which explained some of the process and, for example, visibly showed different tools in the bar would've made it much easier and much less of an eyesore on weekday nights. It's a great course if you learn well by reading, otherwise brace yourself.",David C.,4,1,1
" December 20, 2018",I like it,Nadine K.,4,1,1
" September 9, 2018",I wish there were slides instead of so much reading but other than that it’s easy and cool!,Savanna B.,3,2,2
" November 17, 2018",I wish the lessons were audible or books were provided. Other than that tons of information.,Waynette P.,3,2,1
" October 20, 2018","Terrible,voucher code is incorrect- doesn’t get activated , money wasted",Swaroop B.,1,1,1
" October 17, 2018",I was trying to pull it up to do course but its not coming up,Joy R.,1,3,1
" January 8, 2019","Once I hit the fifth spelling error and third grammatical error in this thing, I just couldn't take it seriously anymore.  It's like it was written by Chinese scammers at times.  Maybe they should hire me to proofread all their BS.",John C.,2,1,1
" September 21, 2018",Well because I was never able to sign into the class I’d have to say not only was I disappointed but also extremely frustrated by the entire process. I only gave this one star because I am unable to submit my post unless I post something for this coarse,Karen S.,1,3,2
" October 5, 2018","easy to access online course , stop and restart where you leave off. very user friendly",Linda J.,5,3,2
" June 2, 2018","Awful! I had to pay for another voucher just to finish my course. It wasn’t even 30 days. After this course, I’m done with Eventtrix. Just awful service.",Valencia H.,1,8,2
" March 13, 2019","I am almost halfway through my course of bartending in barista and I'm learning so much. Also, when contacting the school via email I get a quick response.",Lynn S.,5,1,1
" March 3, 2019","Never got to use it. When I got the code, I went to enter the code and the enrollment class had disappeared. This should never happen. That’s 2 down for services bought on Groupon.😮😮",Mrs Elonne V W.,4,9,1
" July 1, 2018",It was an interesting class but I don't think it would prepare anyone for actual bartending. It was all text based and a few quizzes. I was expecting some kind of videos,Julia W.,3,3,3
" January 21, 2019",Very interesting,Kristen T.,5,6,4
" September 13, 2018",It is just a fake stuff. Don’t waste your money on that.  Why would you sell something valued at $199 for $5?It doesn’t make sense at all,Thupten G.,1,1,1
" November 25, 2018",The class was easy and fun.,Ruth K.,5,2,2
" August 28, 2018","Easy to follow, great course 👍",Alexandra A.,5,4,1
" August 2, 2018",Leave a review of your course and experience!,Bruno A.,5,1,1
" October 16, 2018",I'm trying to use the validation code but I'm having trouble and now I'm recieving an error message. I feel like I just wasted $5 on this when I could of just brought a burger.,Iaisha S.,1,1,1
" October 11, 2018",I couldn’t understand how to get into the program I lost my 5 into the course trying to figure how to open the classes,Bianca F.,1,7,1
" October 3, 2018",Bad experience... still haven’t been able to gain access and haven’t heard back from the company.,Latoya K.,1,1,1
" August 31, 2018",Good info. Well worth the deal.,Lionel G.,4,7,1
" April 1, 2019",I'm still studying I really enjoy it,Esmeralda P.,5,2,1
" March 31, 2019",I think the two trainings didn't work together. There was no transition piece. One moment you are tending bar then BAM you are learning about coffee beans. Felt very disconnected. Otherwise was not a bad course. Don't think I can go be a bartender now though.,Suzanne M.,4,6,3
" March 26, 2019","Had a mixup with the code provided upon purchase, but the course was well organized. Wasn’t clear that you had to pay for the actual certification but still great learning material. The course itself has some spelling errors and",Joe M.,4,1,1
" March 23, 2019",Loved this course!  Learning about all the alcohols and coffee is amazing.,Kim D.,5,3,3
" March 22, 2019",Informatiive and I was able to move through the course quickly,Jennifer P.,4,2,1
" March 16, 2019",I'm taking the course now. I'm surprised how much it break down EVERYTHING about cocktails. I'm impressed. Learning a lot!,Chelsea G.,4,1,1
" March 11, 2019",The course was good. Wish it had a bigger beer and barista sections.,Terri W.,4,1,1
" March 10, 2019",How do I access the course?,Maria D.,3,1,1
" March 4, 2019",Very easy to read and understand and it’s very precise and informative.,Estralita W.,5,1,1
" March 2, 2019",It’s a good program for being online .,Keisha H.,4,3,3
" February 22, 2019",New hole world open through the knowledge that I received!!!,Nikolaos K.,5,1,1
" February 18, 2019",It was difficult to get set up and going but is fun and I bought it once before didn't have the time to do it so now I have the time I'm over halfway tgrough,Elle K.,4,7,2
" February 18, 2019","I love this because I’ve been wanting to be a bartender for a long time, now I have the chance to do it with Groupon’s help!",Alexa L.,5,1,1
" February 10, 2019",Love the classes,Chere E.,5,1,1
" February 8, 2019",This course was SO informative!!! I thought I knew plenty about both trades before taking this course but learned an INCREDIBLE amount as a result of going through it! Thank you!!!,KEOKA J.,5,2,2
" February 7, 2019",Helpful tips,Crystal M.,5,1,1
" February 5, 2019",Teaches information other bar tending schools do not teach.,Rosa G.,5,5,2
" February 1, 2019","Very informative, loved the course.",Karen M.,5,2,2
" January 29, 2019",Easy to do!,Lucinda L.,5,13,2
" January 16, 2019",Haven’t completed yet but so far the information is similar to what I have learned in the restaurant industry! I highly recommend!,Tierra L.,4,1,1
" January 3, 2019",Learning lot of from the scourse,Jaimi S.,5,1,1
" November 20, 2018",Loved the class and learning!,Lindsey M.,5,6,5
" September 14, 2018",Couldn't start for all the advertisements,Tiffany R.,1,1,1
" October 30, 2018",Enjoyed the material !,Joseph S.,4,2,2
" March 15, 2019",i am very frustrated because i am trying to redeem my voucher and i cant.  i cant seem to speak to anyone at groupon or the bartending company and i clicked redeem voucher because that was what i was doing and now i no longer have the redemption code. very aggravated.,Heather Mine M.,1,1,1
" September 11, 2018",Couldn’t access what I paid for,Jeanelle H.,1,1,1
" September 10, 2018",i bought this and when i tried to redeem it this popped up!! what a scam :(( i was actually excited,Justine C.,1,1,1
" September 9, 2018",Could not get the program to operate after paying & registering. Very disappointed.,Diana M.,1,1,1
" October 23, 2018",It was fun. I learned a lot and it was pretty time consuming.,Latoya J.,5,4,3
" October 18, 2018",Very complete! Tons of practicle information.,Val T.,5,2,1
" January 20, 2019",I wasn't able to actually redeem the voucher on the website. I kept getting an error message so I never got to take the course.,Jasmine S.,2,2,1
" January 18, 2019","It's not allowing me to redeem my voucher , I was very excited to try something new , please fix this problem .",Jessica P.,1,1,1
" January 7, 2019","If you owe a cocktail shaker, or heck, even watched a bartender shake or pour a drink before, then there is nothing of value in this class for you. 

The information is too basic to be of any real use. The courses are poorly formatted and edited and can at times be difficult to read. 

I only paid $5 for this course, but I want my money back. This is a joke.",Jess L.,2,3,3
" September 28, 2018",Awesome service and coffee :),Amanda A.,5,1,1
" September 26, 2018",VERY GOOD,Dberry329,5,1,1
" July 18, 2018",Expected a bit more of “mixology” and less “how is it created”; but overall it was a good experience and I learned something.,Chuck B.,4,4,3
" September 25, 2018",It was very informative and easy to navigate.,Joi G.,4,2,2
" September 9, 2018",Very good value.  Excellent content and easy to follow.,Robert J.,5,1,1
" September 9, 2018","The price was great, in fact that is why I decided to take the class. I enjoyed learning how to make different types of drinks and a little history along with it. I would recommend this fun online course.",Susan P.,4,2,1
" September 8, 2018","This was a good course, it was fast and easy to follow. How the only downside for this is there's no hands on training.",Fernando A.,4,2,1
" August 31, 2018",It's a fun course for beginners,DIANNA H.,4,1,1
" August 27, 2018",Well written course.  I learned so much,Mary K.,5,12,4
" August 27, 2018",Very interesting course . Much info to learn,Ayee K.,5,2,2
" August 26, 2018",Awesome. Perfect.,Catherine N.,5,2,1
" August 26, 2018",The course is great and extremely straightforward.,Samer K.,5,2,2
" August 25, 2018","It quick, easy,  n definitely informational!",Sharonda B.,5,2,2
" August 24, 2018",Worth the 5 bucks.,Jeff S.,5,1,1
" August 21, 2018",It’s awesome,Miguel T.,5,1,1
" August 20, 2018",Great instructor!  Drink selection was varied.  There are a lot of cool techniques learned in the class.,Brett W.,5,1,1
" August 19, 2018","Easy, simple and very informative!!",Vanessa D.,4,1,1
" August 18, 2018",Great but employers what tips certified,Selalah M.,5,23,5
" August 16, 2018",Awesome,Esther C.,5,1,1
" August 8, 2018",Great learning experience!!! It’s a breeze 👍🏾💨🌴🌴🌺🌞,Raven,5,1,1
" July 27, 2018",perfect loved it,James F.,5,8,4
" August 28, 2018",It charged me 4 times for the course and will not allow me to take it once,,1,2,1
" July 25, 2018",It's good but better to have more images,Yue H.,4,10,6
" July 24, 2018",Good overview of bartending & barista work.,Catherine N.,4,2,1
" July 22, 2018",It was informative,Catherine D.,5,11,9
" August 21, 2018",I wasn't able to get in the classes. I followed the instructions and it told me to pay another $45.,Taynise H.,1,5,1
" July 13, 2018",Great start!,Terrie A.,5,7,1
 6 days ago,Poorly written modules,Elizabeth P.,2,3,2
