Date,Description,Name,Reting,rating_count,reviews_count
" October 9, 2018",Had a great time!,Amanda S.,5,9,1
" February 10, 2019","The event itself was awesome. Had good food, large variety of vendors, and a fantastic view! However, it was too crowded, and it took over 30 min just to get our food so we got to taste only one food vendor.",Charissa D.,4,8,4
" November 11, 2018",The location was great. It was crowded but still easy to get around. It was rather warm inside but bearable. There was a good variety of vendors/samplers. Worth the price of the Groupon for sure.,Irene V.,5,15,15
" February 12, 2019",Great wines,Ambar M.,5,2,1
" January 27, 2019",Had a marvelous time! Most definitely go again!,Dorothy P.,5,3,2
" February 10, 2019",It was really nice experience & got to try a whole bunch of new wines for all different areas. Really enjoyed it & would definitely go back again.,Christina G.,5,4,1
" February 9, 2019","Amazing experience.  Good food , drinks, new friends!!!",Michelle D.,5,1,1
" December 2, 2018",Had a great time enjoyed  the food and a wide variety of spirits atmosphere was great,Douglas D.,4,2,1
" October 23, 2018",It was okay. I think I expected more in terms of brands and food. But it was worth it to get Barrie’s intense ginger liqueur!!! Holy moly that stuff is insanely good. That I would give 5 stars for. If you love ginger you can get it here http://barrowsintense.com,Harry P.,3,1,1
 2 days ago,"It was a lot of fun. Went to the Wine Festival last year & had to check out the Whiskey Festival as well. I will definitely go again. Music was great, the vendors had delicious foods & found my new favorite drink. 🥃",Nicole D.,5,8,4
" March 2, 2019",This festival is lots of fun. We went once before. Nice selection of wines to try. Some hard liquor too. Music and food round out the event,Pam G.,5,17,13
" March 2, 2019",Nice time will do agai,Christopher N.,5,7,2
" February 11, 2019",What a time. Great experience.,Jared C.,5,2,1
" February 11, 2019",I had an amazing time!,Ms. M.,5,1,1
" February 7, 2019","Good time , gets better every year !",Ofelinda L.,5,4,2
" December 2, 2018","I had a good time. There could have been more whiskey vendors. What threw me off was when I saw Vodka, wine, Gin, probiotic vendors. They could have named the event Wine & Spirits tasting. The availability of food vendors were poor. They had a DJ playing good music, entertainment games such as Jenga, connect four and cornhole in addition to a free photo booth.",Angie D.,3,6,4
" January 27, 2019",It was a fun event. With a variety of assortments of wine and other cookies and what not. It filled my glass with such joy to have experienced this,Marcos J.,4,2,1
" January 27, 2019",It was amazing. Will definitely go again,Dienane F.,5,25,2
" February 10, 2019",Experience was ok. They need to form lines in front of each booth. It would eliminate the wait on lines. Very disorganized. Food was great. Parking was terrible but I knew this going into my old stomping grounds.,Salvador B.,3,4,2
" February 10, 2019","Great night out! Great food and drinks My friends and ı had a göod time. Loved music and game tables, Would do tıs again",Trina M.,5,1,1
" November 11, 2018",This event was Fantastic!!! I mean liquor liquor liquor all over the place what more can you expect. Make sure you eat a little something something before you come and just drink drink drink drink. I will be back next year with my Wife. Thank you great event!!,Eric S.,5,14,9
 5 days ago,I had a really nice time. There were many delicious wines to sample. My only complaint was there should have been free food included in the ticket price. I’ve been to other wine festivals where the venue had food.,Derina S.,4,2,1
" October 14, 2018",There was a nice variety of wine and spirits. Food was tasty,Victoria M.,5,6,4
 3 days ago,Great service and a great experience so many new whiskey companies I never heard of!!!!!!!A++++,Jamel C.,5,1,1
