Date,Description,Name,Reting,rating_count,reviews_count
" March 2, 2019","Fantastic!  A hidden gem and comfortable!
Very professional Staff and quiet but not silent atmosphere.  Perfect for pre theatre relaxation.
The Bar is exquisite; the waitress, truly lovely and friendly, told me interesting facts and history of The Flûte.  It was originally a Speakeasy during Prohibition.
Comfortable for Solo visitors!",Janis L.,5,13,14
" December 26, 2018","Very nice, cozy and charming interior decorating. The champagne and the cheese and fruit plate was great. My wife and I always enjoy visiting this drinking spot. Good location in Mid-Town. Prices were reasonable. We had great service as well.",RAUL F.,5,27,1
" October 28, 2018",Great service! Nice cozy and romantic. They made my Birthday very special! Our bartender George was amazing and so was the food!,Tiffanie D.,5,11,9
" August 15, 2018","Excellent service, great wine, perfect cheese tray.  Atmosphere was wonderful, very relaxing experience. No trouble with voucher.",Lisa T.,5,6,6
" June 16, 2018","Very cozy and relaxing atmosphere, our server was efficient and pleasant 
We were entertained by a couple of ladies speed dating across the room from our table, we definitely will be back",Karna M.,4,5,5
" January 30, 2019","Me and my girlfriend had a great time. we went around 5pm, it was quiet, just a few other couples. They have private rooms to feel more intimate. Friendly staff and worth the deal.",Paul M.,5,1,1
" October 6, 2018","Super cute place! We walked down a flight of stairs under this blue banner that says Flute Champagne Bar and we’re immediately greeted and sat in this cute little booth. I showed him my Groupon which he marked as redeemed and brought us this yummy bottle of champs. Then, this gorgeous tray of cheese and fruit arrived! We were so excited about the champagne, we ordered two flights of champs after!!",Mandi L.,5,1,1
" August 24, 2018",Great experience!,Blanca D.,5,14,7
" January 21, 2019",Amazing spectacular spot. Fantastic place for to chill and sip.,Brandon P.,5,1,1
" January 20, 2019","Amazing & Romantic place! 
Excellent Service!",Albania R.,5,2,2
" December 28, 2018","For the price it is a pleasant experience. Service was great, our glasses were never empty. Very intimate lounge perfect date spot. Wine was great.",Jaclyn S.,5,2,2
" December 4, 2018",Service is amazing and the staff is really attentive :) had a great birthday surprise,Angela G.,5,1,1
" October 17, 2018",Love this place.,Rita C.,5,24,4
" September 24, 2018","Relaxed club feel, good service!",Sandra H.,4,5,4
" August 11, 2018",The  service  and the place was excellent Our server on sunday night was oitstanding he remembered  us from 7 months ago he even remebered i like my champagne  glasses  cold what  a  asset to the Flute.Bad with names  but very polite  charming  distinguish  intellegent looking black man thank u for the beautiful  service and your attention to detail.It was a dream come true my favorite place nyc,Irene F.,5,11,5
" July 26, 2018","My wife loved the surprise date =] It was very cozy, intimate and romantic.  The jazz and singing were great.",Jenny C.,5,4,3
" July 14, 2018",Amazing place!,Connie S.,5,5,3
" May 16, 2018",Love this place!,Connie S.,5,5,3
" August 26, 2018","They first sat us at a table with a huge leak in the ceiling and the seats were soaked. After reviewing my bill online, I found that the waiter added $10 to his tip. Just not a good experience overall.",Tara M.,1,15,2
" August 26, 2018","They first sat us at a table with a huge leak in the ceiling and the seats were soaked. After reviewing my bill online, I found that the waiter added $10 to his tip. Just not a good experience overall.",Tara M.,1,15,2
" April 23, 2018","Most romantic, private, hidden Gem in the city. Everyone should go at least once to experience a classy champagne lounge.",Ivan R.,5,2,1
" March 27, 2018",Very quaint. Loved the little “booth” where I sat. Very kind servers too. I thoroughly enjoyed myself. Thank you!,Debbie B.,5,22,9
" April 7, 2018","Cute venue but horrible service from a lady who really should be in an occupation other than hospitality.  She had zero interest in customer satisfaction and ruined the experience for both of us.  We ordered, quickly finished, tipped a kind gentleman and left. Dissatisfaction plus!

On a positive the champagne was very good. Groupon drives customers to your flaunting business, make it count.",Shane Z.,2,3,2
 Invalid date,"Very cute place, nice ambience, decent service.",Alyssa A.,5,49,16
 Invalid date,"Excellent service, lush ambience in deep burgundies and crystal chandeliers, cozy and great drinks! Great for a romantic date or a cocktail before or after dinner.",Violeta C.,5,2,1
" October 19, 2016","This is a very attractive spot with extremely comfortable seating in a cozy, dimly-lit, establshment. Romance is in the air! Good drinks and good food.",Iris M.,4,7,3
" August 5, 2016",Great date spot!,Sabrina R.,5,14,5
" November 10, 2016",Great service. Personable staff.,Wilhelm L.,5,6,4
" September 7, 2016","Excellent service, great drinks.  Has a slightly bohemian feel to it.",Vadem G.,4,45,26
