Date,Description,Name,Reting,rating_count,reviews_count,label
 6 days ago,Food and service was great. Sangria red was amazingly delicious.,Nonna S.,5,7,2,1
" February 25, 2019",Food and service was excellent.,Robert L.,5,43,7,1
" February 3, 2019","The food and service excellent.  We ordered beef, chicken and Mac /cheese empanadas. Had paella for 2 with the beef short rib, chicken, chorizo.  All was very tasty!

Easy street parking.",Mei G.,4,2,2,1
" January 13, 2019",Great food and service!,Jody T.,5,1,1,1
" January 20, 2019",nice atmosphere . good food,Suzanne D.,4,17,8,1
" October 10, 2018",The food was amazing and the service is outstanding. Try the sangria!!,Debbie A.,5,5,4,1
" March 10, 2019",Amazing experience and definitely will add to our date night roster.  Best empanadas in Nassau County and delicious sangria to boot!,Diana C.,5,16,6,1
" September 23, 2018",Excellent food and services,Shirley F.,5,27,16,1
" September 17, 2018","Ambience was warm, food and drinks were fresh and amazing, and service was great. Go and experience it for yourself. And try their empanadas and sangria as appetizers; it's a ""must-have"" on the menu!!!",Brennon T.,5,6,3,1
" December 18, 2018","This was a birthday celebration.  The staff made us feel special as soon as we walked in. They explained how the tapas would be shared plates brought out one after another. 
The food was excellent.
They provided a festive dessert and sang happy birthday--gratis!
We will definitely be back",Thea C.,5,17,14,1
 7 hours ago,very delicious FRESH food.,Martha K.,5,35,28,1
" February 18, 2019",Great food,Vanessa,5,1,1,1
" February 23, 2019",Delicious food and amazing service!!,Erika C.,5,1,1,1
" November 17, 2018","Food was good, definitely have to try the pecan empanada a la mode...WOW!!!",Emmanuel R.,5,11,7,1
" November 13, 2018",The food was excellent,Mathew W.,4,6,4,1
" November 3, 2018",Food was exceptional. Hugo our waiter was on point.,Ken H.,4,8,4,1
" July 21, 2018",The food and the service were excellent!,Debbie A.,1,5,4,1
" October 28, 2018","Delicious food, warm atmosphere, friendly staff",Bert W.,5,62,31,1
" September 21, 2018","I love this place- small , quaint and the nicest staff ever!",Shelley R.,5,2,2,1
" September 13, 2018",I love this place.  Friendly staff & very informative.  Small dishes (tapas) so you can try a little bit of everything.,MARYELLEN0507 M.,5,1,1,1
" August 4, 2018",Great food friendly service,Anthony P.,5,4,2,1
" August 31, 2018","Repeat customers, we love the sangria, the food and service!",Annemarie P.,5,65,43,1
" March 25, 2019",My husband and I have been eating here for years. Amazing empanadas! The menu is unique and a refreshing change from the usual restaurant fare.,Marie G.,5,1,1,1
" March 4, 2019",Food and service were great. Would definitely return.,Paul-Henri B.,5,2,1,1
" March 4, 2019",The food is amaing!!! My husband and I had the shrimp quesadilla as well as the seafood paella. The atmosphere is relaxed and welcoming.,Tricia A.,5,4,4,1
" March 2, 2019",Everything was amazing!!!!,Emily B.,5,3,1,1
" February 25, 2019",Food was very good . Sangria was also.,Rich K.,4,1,1,1
" February 18, 2019",Delicious meal!! Amazing sangria,Debra M.,5,8,3,1
" February 13, 2019",Never disappointed! The staff is so friendly and the food is out of this world!,Dakota R.,5,3,1,1
" February 12, 2019","Amazing service, delicious food, highly recommend!!",Dana V.,5,3,2,1
" February 8, 2019",Delicious food,Tega E.,5,11,4,1
" December 2, 2018",They were nice but I didn’t like the food they had too much sauce on the food,Nesrin S.,3,75,26,1
" February 1, 2019",Never disappoints!!! The nicest waiter! Creative menu! And most of all delicious!!!!,Debra I.,5,36,11,1
" January 28, 2019",The seafood paella did not seem to have saffron in it. Although the truffle mushroom Mac and cheese was very good. The empanada looks good and a good portion size.,April L.,3,22,8,1
" January 21, 2019",Woa delicioso ceviche toda la comida exelente servicio y sangria woaaaa,Celia O.,5,10,3,1
" January 18, 2019",The only issues I had were with the amount of time to get our food and that they forgot one of our orders. I’ll probably return because of the friendly staff and good food.,Jodette R.,3,2,2,1
" January 14, 2019",Food was good. Service was pleasant & timely. But I thought a little pricey & I thought portions on the smaller side. Mayb I’m just use to Suffolk Co prices.,Theresa P.,4,49,17,1
