Date,Description,Name,Reting,rating_count,reviews_count
" August 29, 2018",We had two female guides that were so informative and not just the winery but the whole North Fork history too! They also were very entertaining and made it such a fun event. I have to mention how very patient they were because we had some slow peddlers in our group! Totally recommend doing Petal & Pour!!,Mary E.,5,1,1
" August 7, 2018","Such a fun day!  Great wine, great guides, very well organized.  I highly recommend this day trip!",Diane D.,5,3,1
" October 24, 2018",Very Good,Gary D.,5,19,11
" October 17, 2018","Enjoyed learning about the two wineries and tastings were fun. Biking was great. ""Gourmet lunch"" was disappointing sandwich. Some snacks while wine sampling would have been appreciated. 
Over all, glad we did it!",Chris L.,4,2,1
" August 27, 2018",Wonderful excursion with fun people!,Koren P.,5,13,5
" August 27, 2018",Always a great time . It was my 2nd time but for the future I won’t do a tour in August it was too hot and alcohol and heat make a bad combination for me,April P.,5,1,1
" August 8, 2018",Great place.  2nd visit.,Margaret T.,5,6,1
" August 1, 2018",Had a great time and it was super easy to redeem! Wish there was a little more pouring and a little less pedaling lol but overall great and the people were awesome!,Chelsea C.,5,1,1
" July 25, 2018","The idea is great, and it was well run. I think wine and exercise are better done separately, though.",Gmulligan2014,3,1,1
" July 25, 2018","We went a few weeks ago it’s was myself my boyfriend and another couple. We  had Lance,  Trish and Linda as our tour guides. They were hands down the NICEST and most knowledgeable people. Their #1 goal was to always make sure everyone in the group was safe and well hydrated. I highly recommend doing this ride, we did it and it was sooooooo hot! You won’t be disappointed.",Jen F.,5,7,2
" July 24, 2018",A lot of fun. Great exercise and the Cream Ridge Winery was outstanding. Would defiantly do this again.,Michelle C.,4,3,3
" June 28, 2018",Great time!!!,Tanya L.,5,17,4
" June 13, 2018","Gr8 day out, enjoyed every minute",Jacqueline H.,5,38,9
" September 17, 2017","Very friendly tour guides. The first winery we went to was the best wine tasting experience I've had-- our sommelier was very knowledgeable and took a ton of time to walk our group through the wine experience.  Fantastic tour, and would love to try at the other locations too!",Kelly,5,3,1
" May 31, 2016","Very positive and overall an amazingly organized tour. Tour guides were easy going, considerate and so much fun! Would do it again, no doubt.",Alisia E.,5,13,4
" June 27, 2016",Tour guides were friendly and personable.  Great selection of wines for tasting.,Heather G.,5,25,15
" June 10, 2016",If you love biking and wine this is the perfect activity for you! I knew I had to buy this Groupon when it combined two of my favorite things and I was not disappointed. The tour guides were friendly and knowledgeable on wine. Getting to tour the wineries was very interesting and of course getting to taste the different wines was a treat after riding through the,Jessica C.,5,3,1
" June 5, 2016","An amazing day in North Fork! Our tour guides John, Rich, and Ashley were terrific",Teresa K.,5,7,2
" July 5, 2017",Tour guide from Hawk haven was wonderful! Guide from CM winery was quick and not informative.,Connie,5,2,2
" May 16, 2016","The New Egypt bike tour was great!  There are some decent sized hills, and  our guides, Ivan and Linda were awesome. Tim at Cream Ridge Winery gave us a great tour and spoke about their plans to make the vineyard even better and more sustainable.  Got to sample 10 different wines too!  Laurita was beautiful but a little less intimate of an experience.  Would highly recommend this to anyone who wants some exercise and some good wine!",Susan L.,5,3,1
