Date,Description,Name,Reting,rating_count,reviews_count
" December 13, 2018","Bad experience, the owner did not honor my groupon because she stated I was not a new customer and that I could pay the difference. The groupon states if you have not been there in the last six months in which I had not.  I was told she was not responsible for what it says??

I went to see Josh because I was his customer at another salon and he is wonderful and that is the only reason why I gave it 3 stars.  I will never go back, poor customer service, did not even offer any type of compromise so I said I will only get color not to owe additional monies.",Lisa,3,1,1
" October 29, 2018","It was my first time going here, right before a trip to Atlantic City. I had a 10 am appointment with Josh. First, this place is so well decorated and homey. Josh offered me coffee and water, which is a nice little perk. Josh is an amazing stylist and made me feel comfortable, especially when I asked questions about the best style for me. I left feeling fabulous and so happy with my haircut.",Elena R.,5,1,1
" August 30, 2018","Awesome highlight cute down home place pleasant staff!! Went in summer had my two kids with me and they were super accommodating. Very good place!!

Thanks again,

Michelle",Nicole Michelle P.,5,2,2
 2 hours ago,"Very nice vibe going in, friendly, Victoria was excellent!",Karen T.,5,1,1
" March 23, 2019",Ally is amazing with color and highlights! I loved the salon...everyone was super friendly and I can’t wait to go back.,Laura T.,5,4,4
" March 22, 2019","So happy I found this place...It’s cute, clean & the staff is friendly. The stylists are current on what’s new in styles & color so that’s a big plus! Joshua gave me a great cut & he listens to the clients needs. I highly recommend this place, my experience was great & I hope yours will be too!",Rebecca A.,5,1,1
" March 15, 2019","I don’t get my hair cut often because it grows very slowly.
I usually get a groupon once a year. But, I am never all that happy. Josh was awesome!
He cut just enough to give it shape and body. He seemed to be a very happy person, smiling often toward his coworkers. He was friendly, but not overly chatty!
I think I found my guy!
I highly recommend him!",Heidi G.,5,10,2
" March 9, 2019",Pleasant staff and good service,Joanna I.,3,1,1
" March 8, 2019",Josh did an excellent job! My mom hair needed some uplifting and that’s exactly what occurred! Thanks!,Laynah M.,5,5,2
" March 2, 2019",Victoria was amazing not only did a beautiful job but had a great personality. It felt very homey there I will def be going back! Best part was she even gave me tips so I can do my hair myself at home and get great results!,Meghan K.,5,2,1
" February 25, 2019",Ally was amazing. She really listened to what i wanted and then made my hair 1000x better. Definitely the kindest and friendliest person there!!,Julie R.,5,1,1
" February 23, 2019",Allie is fantastic!,Madeleine W.,5,8,3
" February 22, 2019",Ally was my stylist and she was awesome. I got a cut and blowout. She took her time and it looks great. I booked an appointment for color with her next week!,Sarah H.,5,8,3
" February 9, 2019",My daughter “loved” her new haircut from Victoria!,Diane P.,5,12,3
" February 7, 2019","Nice atmosphere, great job, trendy salon. The guy who did my hair was great!",Linda A.,5,2,1
" January 27, 2019",I love this salon!! Nikki is wonderful and so is her staff!! Always happy with the services!!!👍,Georgia I.,5,1,1
