Date,Description,Name,Reting,rating_count,reviews_count,label,Price,Service,Food,Atmosphere,Location
" September 8, 2018",Excellent food and wine. Entertainment was good. Vendors were all friendly.,Lisa M.,5,2,1,1,0,1,1,1,0
" September 9, 2018",The price we paid was an outstanding value. There were many excellent wineries present at the festival. All willing to present and explain their wines. Really good crowd of people to experience this event with. Free parking for the event. Highly recommended for any wine lovers or wine amateurs willing to taste the differences in the wine tasting experience.,Jonathan L.,5,3,2,1,1,0,1,1,0
" September 9, 2018","Had a fantastic time! So many wineries, distillery鈥檚 and cider vendors; not to mention local crafts, honey, maple syrup and cheese. Great value, libations and food. Can鈥檛 wait till next year.",Patricia G.,5,6,3,1,0,0,1,1,0
" September 15, 2018",Excellent experience for the novice to a sommelier.  I brought a mixed group with me and everyone had different favorites.  Sellers were patient and knowledgeable.  Although it can get very crowded the atmosphere is festive and light.  There is a great selection.,Liz C.,5,1,1,1,0,1,0,0,0
" September 10, 2018","The variety of wines was wonderful from local wineries but to tout this as a ""Food & Wine Festival "" is very misleading. The ""food"" was cheese, dips, a other crudit茅s for sampling. At other food and wine festivals there was actual ""tastings"" by local chefs and/or restaurants. If you wanted something to eat you paid for something of a FOOD TRUCK",Marie S.,3,3,2,1,0,0,1,0,0
" September 10, 2018",This was my third visit. I always have a good time.  The variety of vendors are great.  I've found a few of new my favorite things right here.,Louvenia S.,5,26,9,1,0,1,0,1,0
" September 10, 2018","The wine tasting wasn't bad. There was a good representation of NYS wineries and distilleries there and a good representation of food exhibitors with free samples. It was fairly easy access to the exhibitors and the tastings as it wasn't too crowded (went on Sunday per Groupon) and there weren't a lot of strollers. People are bringing there own wine caddies (ie, small pull along shopping carts) even though there is a very handy pickup service so you don't have to tote your wine purchases around. I had two main complaints. The wine offered for sale at the event was about 25% costlier than you would pay at a discount liquor store. The separate food vending area (not the food exhibitors) was extremely overpriced. I paid $6.00 for a small slice of pizza. Hot dogs sold for $4.00 apiece. I would expect a small premium on food but this was ridiculous. If I go again, I will bring my own food. Not sure if you can bring it in but one can always go to the car to eat.",Gary W.,3,7,6,1,1,1,1,0,0
" September 9, 2018",The Wine Fest is awesome.  You get to taste hundreds of wines and food and buy at discounted prices.  Getting the Groupon price to get it is the way to go.  Definitely recommend it.,Kelly C.,5,6,4,1,1,0,1,0,0
" September 15, 2018","I had an awesome time, great good & people. Vendors were wonderful & friendly",Cheryl S.,5,1,1,1,0,1,1,1,0
" September 15, 2018",A lot of fun!!,Dawn Z.,5,9,3,1,0,0,0,1,0
" September 14, 2018","Nice atmosphere and samples of wine. However, there were only a few food tastings, which consisted of cold cuts and cheese. We had to pay for real food outside the tents.",Elizabeth C.,3,2,2,1,0,0,1,1,0
" September 14, 2018",My husband and I look forward to coming to this event yearly !! It鈥檚 a wonderful day and SO many vendors !!,Daina D.,5,1,1,1,0,0,1,1,0
" September 13, 2018","Everything about my day there was really good. The only negative was that it was so huge, with so many vendors, that I didn't have a chance to go to all of them.",Marie R.,5,2,2,1,0,0,1,1,0
" September 13, 2018","Definitely not as many wineries as in past. But makes the aisles less crowded .   Found a few favorites, great time with friends!",Maurya B.,4,1,1,1,0,0,1,1,0
" September 13, 2018",AMAZING FOOD AND WINE,Lindsay M.,5,6,4,1,0,0,1,0,0
" September 12, 2018","This is my third year in a row attending the Hudson Valley Food and Wine Fest but the first time I purchased a Groupon for it. It was really easy to redeem. Since the weather was on the cooler side and was also cloudy on Sunday, the 9th, there were hardly any lines and it was easy to move from one vendor to the next. I can鈥檛 wait to go again next year!",Kimberly G.,5,15,4,1,1,0,1,0,0
" September 11, 2018",awesome time.,Jb5sr,5,3,2,1,0,0,0,1,0
" September 11, 2018",Always such a great time! And this is such a great deal.,Kristin B.,5,6,5,1,0,0,1,1,0
" September 11, 2018",Great time at the wine fest will keep going,Nicole M.,5,7,2,1,0,0,1,0,0
" September 11, 2018",I feel like the food and wine festival is really catching on. This is the third year I鈥檓 going and each year seems bigger and better.,Joseph D.,5,7,2,1,0,0,1,0,0
" September 11, 2018",Vendors were numerous and friendly,Vicki M.,5,2,1,1,0,0,1,0,0
" September 11, 2018",The event had a nice layout and wasnt to crowded. Lots of great vendors!,Kyle M.,5,18,11,1,0,0,1,1,0
