Date,Description,Name,Reting,rating_count,reviews_count,label
" June 2, 2018",It was nice 🤗 I was tipsy🙃,Shonda M.,5,2,2,1
" July 17, 2018",This place was amazing. My boyfriend and I went to celebrate our 5 year anniversary. We never been to a vineyard before but love wine so we figured we’d do something new. The price was affordable for all they offered & the wine was amazing and of course after the tour & tasting we bought a bottle and sat out on the deck. My only complaint was they were very pushy about buying a case of wine.,Jennifer S.,5,3,3,1
" September 19, 2018",Beautiful vineyard and 2 of the most friendliest rottweilers greet you. Don't worry they look like  mean but they are so lovable and love people. I enjoyed many wines and cheese.,Heather M.,5,21,21,1
" November 5, 2018","Very intimate and lovely experience! We initially went to Reading Terminal Market because the location was listed as such but it is actually at a different location about a 15 minute walk away.

For most of the time my party and I were the only ones there so it was basically a private tasting. We went on a Thursday afternoon.

The staff was absolutely wonderful. My questions were answered in a personable and non condescending manner. We spent almost 2 hours here and didn't feel rushed at all.

This was truly an aamzing expwrience espically for the price.

Great for a date night or with a few friends. Make sure to call in adance to reseve your spot!",Rebecca M.,5,3,3,1
" November 26, 2018",We had a great time! The wine was good and the ladies there were so knowledgeable. Took two bottles home with us! Highly recommend.,Katie S.,5,5,5,1
" December 31, 2018","This is one of our favorite wineries, we really like their wine and their friendly staff.",Jeannie S.,5,3,3,1
" January 15, 2019",You got into the backroom and sit at what looks like a little patio table. So the atmosphere isn't the best but the cheeses and wine were delicious! Great price,Mackenzie,4,2,2,1
" March 4, 2019","We loved it! Loved the $5 wine bags, wine was great, people were very friendly!",Tina R.,5,8,8,1
" November 15, 2018","If you are considering this Groupon, pull the trigger. The wine is great and the people are nice. If you are headed to the Philly location, grab some food and sit a spell!",Christa J.,5,1,1,1
" November 11, 2018",Went with friends on a day when no one else was there. They did a great presentation and we enjoyed our very personalized experience.,Sarah C.,5,1,1,1
" February 4, 2019","I had a good time. The wine was good and also the cheese. It would've been better to get a little detail about the wine, I found myself asking about each wine the entire time but overall nice time.",Diamond Q.,4,1,1,1
" October 18, 2018","It is a beautiful vineyard; however, it is difficult to go on the tour.  I had difficulty getting a response when I called ahead and on the day of our visit, there weren't any available slots.  We only used the tasting part of our Groupon.",Lourdes G.,4,11,11,1
" December 26, 2018","We really had a fantastic time, friendly service and delicious wine and cheese. We bought a case of mix sweet wines",Rossy Z.,5,3,3,1
" December 24, 2018","Love this winery. The folks here are so very nice and the pups are incredibly friendly. They have a wide selection of wines, both red and white, numerous which are very tasty. The building and surroundings are very picturesque. I have yet to enjoy my time there on the deck (due to weather) and am looking forward to an afternoon come 2019.",Janet P.,5,11,11,1
" December 6, 2018","The first time we went for a tour and tasting and had a fabulous time! This time (just the wine and cheese pairing, no tour) felt rushed. We didn't learn anything about the pairings, and the bartender was not as gracious as our last host was. Would still return but would call ahead to see who is working.",Katherine M.,3,7,7,0
" November 15, 2018","The wine and cheese parings are perfect, Atmosphere is nice. The staff is a little impersonal the seem to prefer certain types of customers. This has been observed on several occasions.",Renee M.,3,6,6,0
" November 27, 2018",I love the new location and the hostess was wonderful.,Aliya W.,5,12,12,1
" October 5, 2018",The people were very friendly and the atmosphere relaxed. Loved the music that was made available and the wine we bought and the people we met during the break in the music. The singer from the band was from our area originally and he came over and talked with us. We had a great day and plan to return soon.,Joyce M.,5,11,11,1
" October 4, 2018","I went for my birthday and I really enjoyed myself, beautiful and serene vineyards, I can’t wait to go back!",Sabreea B.,5,1,1,1
" August 1, 2018",Awesome place with very friendly and informatve staff!,Destinee A.,5,2,2,1
" September 24, 2018",This was a fun experience. Loved the popcorn and the wine pairing..,Cynthia M.,5,8,8,1
" August 3, 2018",I loved the whole experience,Massiel D.,5,1,1,1
" August 28, 2018","The people always seem warm and very hospitable.  So far, I’ve always had a good time there!",Dilia L.,5,6,6,1
" June 25, 2018","Fiirst time taking a winery tour.  It was not a long tour, wine tasting very good and the instructor explained about the wine.",Beverly M.,5,1,1,1
" July 27, 2018",Great experience!,Larry F.,5,12,12,1
 2 days ago,The staff was very friendly and informative about each wine we tasted. Great place to go to for a lowkey date or a small group hangout. You also get a 5% discount on any wine purchases made that day.,Shelley L.,5,1,1,1
" March 5, 2019",It was a great experience!!! We really enjoyed ourselves,Tondalaya H.,5,2,2,1
" March 3, 2019",The best wine tasting I’ve ever been to. The staff is friendly and the wine is tasty. What more can a gal ask for,Laval G.,5,4,4,1
" February 26, 2019","Amazing wine, friendly workers, and delicious cheese. I would highly recommend for a date night or girls night out!",Erin G.,5,1,1,1
" February 26, 2019",Love the place and the tasting!!❤️,Lorna C.,5,19,19,1
" February 24, 2019",We had a great time. The cheese was awesome. Our server was amazing.,Mary L.,5,1,1,1
" February 24, 2019","I had a great time both times I went. I did the wine and chocolate first and it was amazing, so I had to give the wine and cheese a try and that was amazing as well. I will definitely go back! Hopefully to the winery next time for a tour.",Kiana M.,5,1,1,1
" February 23, 2019","Good wine, great service.",Laurenrunza,5,2,2,1
" February 23, 2019","We didn’t know we had to set up reservations, so the lady at the front desk gave us attitude when we said we didn’t have one. She was giving attitude about cutting 8 pieces of cheese... The lady we did the pairing was amazing.",Morgan R.,3,1,1,0
" February 21, 2019",Great tasting experience! Chocolates are flavored to match each wine which is different than many other winery tastings. Service was great!,Jamie F.,5,3,3,1
" February 19, 2019","Knowledgable and friendly staff, with a intimate setting. The wines are delicious! To improve would like to be able to preselect tasting and converse about options prior to seating.",Jo-El L.,5,3,3,1
" February 18, 2019",The wines were excellent and the chocolates was tasty. My husband and I are very please with our time at Blue Mountain,Leona P.,5,48,48,1
" February 15, 2019",We loved it. Perfect for a day out with your loved one,Dee W.,5,3,3,1
" February 12, 2019",Amazing experience and lovely crew!!’,Eilien O.,5,15,15,1
" February 11, 2019","Great spot for a quick date. Very intimate, only about 4 other people in the room so not too crowded, but not much privacy either. Hostess was kind and knowledgeable. Wine was good, but nothing I would write home about.",Donny D.,5,1,1,1
" February 8, 2019",It was a cozy place. The host was very helpful and patient with me and my guest. Who like to do it again.,Tamika P.,5,2,2,1
" February 6, 2019",Loved the experience.  Very friendly staff.  Would definitely go again!,Kathy C.,5,25,25,1
" February 6, 2019","Friendly, knowledgeable staff and excellent wines. Great location in center city. Definitely worth a visit!",Patricia M.,5,2,2,1
" January 29, 2019",I had a great time and staff was very helpful,Diva423,5,2,2,1
" January 15, 2019",Great wine and great service,Sharonn M.,5,3,3,1
" January 2, 2019",Great time!!,Qiana P.,5,1,1,1
" December 26, 2018",As Always I enjoy my experience,Katrina H.,4,6,6,1
" December 19, 2018","Great experience, delicious wine and amazing customer service. I would definitely recommend and revisit !",Quyen L.,5,1,1,1
" December 17, 2018",The vineyard/cellar dogs were really the only great thing about this Winery.  The wines were subpar and the chocolates were nothing special.,Brittany J.,3,21,21,0
" December 10, 2018",It was so much fun!,Madison C.,5,2,2,1
" December 10, 2018",It was so much fun!,Madison C.,5,2,2,1
" December 6, 2018","Friendly staff.  Nice vibe.  Enjoyed the music on Sunday.  Liked the cheese with the wine and cheese pairing, but unfortunately not the greatest red wines we have ever had, but everyone's tastes are different.  Still, worth a visit.",Jessica E.,4,9,9,1
" December 6, 2018",Awesome service and products,Janice W.,5,3,3,1
" November 25, 2018",Atmosphere and people were great. Wine and cheese were pretty good.  The dogs were not exactly great for the situation.  We would still go back.,Tom L.,3,4,4,1
" November 20, 2018","The wine tasting was great fun.  We went in early October, so the vineyard work was already completed and there wasn’t much to see.  However, the guide was very well informed, taught us a great deal about this vineyard, its values, and work.  The wines are delicious!",Margaret W.,5,2,2,1
" November 14, 2018",I loved it the staff was very informative and nice,Emily C.,5,2,2,1
" October 30, 2018","Great place, friendly atmosphere, will love to go back",Patrice R.,5,4,4,1
" October 29, 2018",Great place for a ladies night out or even date night! Very intimate and the staff is amazing and very knowledgeable about the wine. Literally just bought another one because it was that good!,Nye M.,5,3,3,1
" October 24, 2018",It was fun... Nice little drive from Philadelphia. I would go again.,Kenesha W.,4,1,1,1
" October 17, 2018",Fun time,Crystal S.,5,1,1,1
" September 27, 2018","We had the wine/cheese paring and it was great. Very informative. The groupon I purchased was also for a winery tour, but unfortunately those are only offered on the weekend. Would go back!!",Denise D.,5,10,10,1
" September 22, 2018",The guide was amazing so good knowledge about  wines etc...very friendly staff. My husband and I had good afternoon we also bought cheese (merlot and smoke Gouda) and of course a bottle of wine very highly recommend place nice view.!,Ruby A.,5,7,7,1
" September 10, 2018","Fantastic! Not only is the wine terrific, but all the employees! Makes for the most wonderful time.",Hayley L.,5,7,7,1
" September 3, 2018",I purchased 12 bottles between my daughter and myself. When we opened them they did not Taste as good as the samples we tried. They were very light and hardly had a taste.,Cynthia G.,3,2,2,0
" August 26, 2018",Was very good wine great atmosphere.,Theresa S.,5,6,6,1
" August 19, 2018","It was one of the best days that I have had in a very long time. The tour guide (Stephanie) was excellent. She really seems like she enjoys what she is doing and has a great respect for the business.
The wine, chocolate, tour, atmosphere, and people were amazing. You really could feel relaxed and completely enjoy your time there. Would love to do it again real soon.",Janelle H.,5,1,1,1
" August 2, 2018","This place is so low key and excellent. The service was incredible, wines were incredible. I have to go back and purchase another bottle. I highly recommend this place.",Donecia W.,5,3,3,1
" August 1, 2018",I loved the owner. He was very knowledgeable and passionate about his craft. He made us laugh and his dogs are so cute. I went for the cheese and I want to go back for the chocolate pairing. The wine was delicious and the entire grounds were beautiful.,Dezeray M.,5,45,45,1
" July 16, 2018",Great place to for a Saturday afternoon to enjoy with close friends. Our guide was lovely and definitely knows what she is talking about. Would recommend to others to go and would like to come back again for other wine tastings,John N.,5,3,3,1
" July 14, 2018",Wonderful time. Very relaxing!,Audra S.,5,4,4,1
" July 11, 2018","Extremely short tour, with mostly trivial facts. As for the wine tasting, I think they were trying to advertise flavors that didn’t sell too well in the first place. However, the environment is very relaxed and enjoyable, and so are the people that work there. Also beautiful location.",Nathaniel K.,3,1,1,0
" July 10, 2018","Great place, good people, and delicious wines.",Lori V.,5,8,8,1
" July 9, 2018",Great wine experience will be going back.,DaShana M.,5,6,6,1
" July 2, 2018",Will return.,Nelister R.,5,9,9,1
" July 2, 2018",Fantastic! Wine and cheese were delicious and we had a Great table of people. Going again!!,Hayley L.,5,7,7,1
" July 1, 2018",Great service.  I enjoyed my visit and the wine.,Billy R.,5,10,10,1
" June 21, 2018",It was nice not what I expected,Kassandra B.,3,1,1,0
" June 20, 2018",Surprised my mom for Mother’s Day! She had a lot of fun and loved learning about how to make wine!,Madicyn Z.,5,2,2,1
" June 18, 2018",We had a wonderful time. We learned a lot of about their wines and the tastings were great. We plan to go back.,Sherri H.,5,1,1,1
" June 18, 2018",We had a great time learning more about wine and sampling the wine and cheese. Highly recommend!,Cindy H.,5,4,4,1
" June 15, 2018","Wow wonderful place my wife loved it here , Took my wife here for her birthday she had a blast . definitely would love to come back for our anniversary .",Mikhail T.,5,3,3,1
