Date,Description,Name,Reting,rating_count,reviews_count
" June 6, 2018",The staff here are so friendly me and my boyfriend enjoyed ourselves so much we went twice..and the wines they have are so tasty highly recommend,Ora J.,5,6,3
" December 2, 2018","Travel there was easy, wine and cheese was good and service was prompt. Staff very helpful. Bought tow bottles of wine and gave it out as gifts. Can't wait to go back aain.",Sharon S.,5,7,4
" March 16, 2019",Amazing Winery! The wine is so yummy! Very knowledgeable and friendly. Can’t wait to go back for more in May!,Alicia L.,5,2,1
" December 3, 2018",so nice - had the red and white tasting in different rooms with knowledgeable staff!,Karen A.,5,40,27
" February 27, 2019",Great time and great cheese! I wish there was a place we could sit down while enjoying the tasting. I loved the wine but seemed watered down so I didn't purchase any. It was still a great experience!,Katice M.,5,4,4
" July 1, 2018","We loved this place. We were a group of 6 people. We got there a little early for our reservation, but we were welcomed in like family. We opted for the cheese plate which was a great option to pair with the wine. Then the wine tasting began and it moved at a very comfortable pace from dry to sweet. Great wines. We walked out with 6 bottles to take home. Highly recommend this experience.",Chuck C.,5,24,7
" February 22, 2019","Plagido's has a nice variety of wines and allows you to taste as many as you would like. Our server was very knowledgeable, describing each wine in detail and answering my husband's numerous questions. I hope to go back soon.",Fran S.,5,25,12
" November 29, 2018","Very friendly and accommodating.  Explained all the wines, gave us background on the history of the winery, and allowed us to tour the wine making area.",Joanne Z.,5,16,9
" February 16, 2019","Friendly server, but truly low quality wine.  There are plenty of other excellent wineries in this region....skip this one.",Rebecca G.,2,7,2
" August 9, 2018",Small winery but excellent service.,Linda S.,5,6,5
" July 11, 2018",Me and my sisters went and had a wonderful time. Everyone was so kind and the wines were delicious we will definitely visit again,Jean W.,5,3,1
" June 26, 2018","They will give you a small sample of ALL of their (maybe 10-15!!!) wines.  Very large selection.  They DID say that you have to (I did not - they let me ""go"") call ahead and reserve, even with your Groupon, which actually is kind of a pain.  They said that it plainly states that on the Groupon, although I missed it.",Steven B.,5,3,2
" May 8, 2018","I thought our experience was a very good one, especially since my mom and brother had not been to a wine tasting before and we had not been to Plagidio's previously to know what to expect.  There were several very good wines. We were pleasantly surprised with the personalized experience.",Kathy M.,4,3,2
" June 20, 2018",This was our second time at Plagido’s and we enjoyed the tastings both times. The staff is very friendly and knowledgeable. We bought a case of wine and we will go back again.,Harry H.,5,4,1
" May 30, 2018","Excellent, very knowledgeable and professional staff, we have been there twice and will be returning this weekend.",Joseph D.,5,49,19
" April 17, 2016",The winery was great and the hostesses were very polite and informative.,Damarcus H.,5,2,1
" April 22, 2017",Me and my girlfriend went and enjoyed this event. The atmosphere is nice and welcoming and the staff is unbelievable friendly. The female that was serving us the wine was very polite and knowledgeable of all the wine we tasted.,Jabbar,5,3,1
" September 8, 2016",Staff very pleasant & accommodating.  Wines were quite good. We enjoyed our wine tasting experience and purchased bottles to take home. We'll definitely return.,Diane R.,5,2,1
" October 1, 2016",Good wine and nice atmosphere,Jasmine P.,4,2,2
" July 29, 2016",All the grapes are actually grown there which is not like most nj wineries. Great wine and great customer service!,Mj J.,5,13,3
" August 14, 2016",Highly recommended. My wife and I have stopped here several times on the way to the shore. The wines are delicious and the staff is always friendly and knowledgeable.,NORMAN H.,5,16,9
" April 26, 2018",Great tasting and even better customer service!,Kyle N.,5,1,1
" June 20, 2016",Great little winery! Excellent staff and amazing wines! We had a great time!,Kara B.,5,4,1
 Invalid date,after the tasting buy a glass of your favorite wine and sit on the back patio and enjoy the view of the vineyard....beautiful!,Susan C.,5,2,2
 Invalid date,"Bring a snack,  the wines are all wonderful.",Betty C.,5,17,12
 Invalid date,"Great wines, lovely vineyard, and really knowledgeable and friendly staff.",Colleen R.,5,2,2
" March 20, 2018",Wine is delicious and the staff is nice.,Sharron W.,5,4,3
